rank,Stadium,Capacity,City,Country,Home Team(s)
140,Huanglong Stadium,"51,139",Hangzhou, China,Zhejiang Lvcheng
141,De Kuip,"51,137",Rotterdam, Netherlands,Feyenoord Rotterdam
142,Newlands Stadium,"51,100",Cape Town, South Africa,no current user
143,Ibrox Stadium,"51,082",Glasgow, Scotland,Rangers F.C.
144,Estádio Olímpico Monumental,"51,081",Porto Alegre, Brazil,Grêmio
145,Jiaodaruisun Stadium,"51,000",Xi'an, China,some Shaanxi Guoli and Xi'an Anxinyuan matches
146,Estádio do Dragão,"51,000",Porto, Portugal,F.C. Porto
147,Estádio José Alvalade,"50,466",Lisbon, Portugal,Sporting Clube de Portugal
148,RheinEnergieStadion,"50,374",Cologne, Germany,1. FC Köln
149,Incheon Munhak Stadium,"50,256",Incheon, South Korea,Incheon United
150,Ajinomoto Stadium,"50,100",Tokyo, Japan,"F.C. Tokyo, Tokyo Verdy"
151,King Baudouin Stadium,"50,024",Brussels, Belgium,Belgium national football team
152,Charles Mopeli Stadium,"50,000",Phuthaditjhaba, South Africa,some Free State Stars matches
153,Estádio Santa Cruz,"50,000",Ribeirão Preto, Brazil,Botafogo Futebol Clube (SP)
154,Hiroshima Big Arch,"50,000",Hiroshima, Japan,Sanfrecce Hiroshima
155,Jilin People's Stadium,"50,000",Jilin City, China,some regional teams matches
156,Khalifa International Stadium,"50,000",Doha, Qatar,Qatar national football team
157,Lagaligo Stadium,"50,000",Palopo, Indonesia,Gaspa Palopo
158,Nagai Stadium,"50,000",Osaka, Japan,Cerezo Osaka
159,Phnom Penh National Olympic Stadium,"50,000",Phnom Penh, Cambodia,Khemara
160,Stade 26 mars,"50,000",Bamako, Mali,Stade Malien
161,Sultan Mizan Zainal Abidin Stadium,"50,000",Kuala Terengganu, Malaysia,some Terengganu FA matches
162,AWD-Arena,"49,951",Hanover, Germany,Hannover 96
163,Ernst Happel Stadion,"49,844",Vienna, Austria,"Austria, some FK Austria Wien and SK Rapid Wien matches"
164,Estadio José Amalfitani,"49,540",Buenos Aires, Argentina,Club Atlético Vélez Sársfield
165,Sheikh Zayed Stadium,"49,500",Abu Dhabi, UAE,UAE Cup Finals
166,Miyagi Stadium,"49,133",Rifu, Japan,some Vegalta Sendai matches
167,Stadium of Light,"48,707",Sunderland, England,Sunderland A.F.C.
168,Jinnah Sports Stadium,"48,700",Islamabad, Pakistan,some Pakistan matches
169,Fritz-Walter-Stadion,"48,500",Kaiserslautern, Germany,1. FC Kaiserslautern
170,Estadio Tomás Adolfo Ducó,"48,314",Buenos Aires, Argentina,Club Atlético Huracán
171,Estadio Malvinas Argentinas,"48,000",Mendoza, Argentina,Godoy Cruz Antonio Tomba
172,City of Manchester Stadium,"48,000",Manchester, England,Manchester City F.C.
173,Frankenstadion,"47,559",Nuremberg, Germany,1. FC Nuremberg
174,Stadio Artemio Franchi,"47,282",Florence, Italy,Fiorentina
175,Silesia Stadium,"47,246",Chorzów, Poland,Poland national football team
176,Parc des Princes,"46,480",Paris, France,Paris Saint-Germain
177,Estadio Olímpico Chateau Carreras,"46,083",Córdoba, Argentina,"Talleres de Córdoba, some Belgrano de Córdoba matches"
178,Estadio El Campín,"46,018",Bogotá, Colombia,"Millonarios, Independiente Santa Fe"
179,Estadio Monumental David Arellano,"45,953",Santiago, Chile,Colo-Colo
180,Rice-Eccles Stadium,"45,634",Salt Lake City, USA,Real Salt Lake
181,Estadio Olímpico Pascual Guerrero,"45,625",Santiago de Cali, Colombia,"Deportivo Cali, América de Cali"
182,Estadio Nacional de Lima,"45,574",Lima, Peru,Peru national football team
183,Anfield,"45,522",Liverpool, England,Liverpool F.C.
184,Estádio Ilha do Retiro,"45,500",Recife, Brazil,Sport Club do Recife
185,Estadio Ramón Sánchez Pizjuán,"45,500",Seville, Spain,Sevilla F.C.
186,Sydney Football Stadium,"45,500",Sydney, Australia,Sydney F.C.
187,Eden Park,"45,472",Auckland, New Zealand,no current user
188,Estádio Mané Garrincha,"45,200",Brasília, Brazil,some Sociedade Esportiva do Gama matches
189,Mangueirão,"45,007",Belém, Brazil,some Paysandu Sport Club and Clube do Remo matches
190,Abbasiyyin Stadium,"45,000",Damascus, Syria,"Al-Jaish, Al-Wahda, Al Majd"
191,Engenhão,"45,000",Rio de Janeiro, Brazil,Botafogo
192,Estádio da Machava,"45,000",Maputo, Mozambique,Mozambique national football team
193,Estádio do Café,"45,000",Londrina, Brazil,some Londrina Esporte Clube and Sociedade Esportiva Matsubara matches
194,Fez Stadium,"45,000",Fes, Morocco,Maghreb Fez
195,Naghsh-e-Jahan Stadium,"45,000",Isfahan, Iran,Sepahan
196,Pinheirão,"45,000",Curitiba, Brazil,some Paraná Clube matches
197,Stade Chahid Hamlaoui,"45,000",Constantine, Algeria,CS Constantine
198,Stade El Menzah,"45,000",Tunis, Tunisia,"Club Africain, Espérance"
199,Toyota Stadium,"45,000",Toyota City, Japan,some Nagoya Grampus matches
200,Verdão,"45,000",Cuiabá, Brazil,"Clube Esportivo Dom Bosco, Mixto Esporte Clube"
201,Munsu Cup Stadium,"44,466",Ulsan, South Korea,Ulsan Hyundai Horang-i
202,Zentralstadion,"44,345",Leipzig, Germany,FC Sachsen Leipzig
203,Estadio Cuscatlán,"44,313",San Salvador, El Salvador,"Alianza F.C., San Salvador F.C."
204,Gwangju World Cup Stadium,"44,118",Gwangju, South Korea,Gwangju Sangmu Phoenix
205,Shandong Stadium,"43,700",Jinan, China,Shandong Luneng
206,Vasil Levski National Stadium,"43,632",Sofia, Bulgaria,Bulgaria
207,Estadio Pedro Bidegain,"43,494",Buenos Aires, Argentina,Club Atlético San Lorenzo de Almagro
208,Jeonju World Cup Stadium,"43,348",Jeonju, South Korea,Jeonbuk Hyundai Motors
209,Suwon World Cup Stadium,"43,288",Suwon, South Korea,Suwon Samsung Bluewings
210,Ōita Stadium,"43,254",Ōita, Japan,Oita Trinita
211,Stade Gerland,"43,051",Lyon, France,Olympique Lyonnais
212,Estadio Universidad San Marcos,"43,000",Lima, Peru,Universidad San Marcos
213,Nya Ullevi Stadium,"43,000",Gothenburg, Sweden,"IFK Göteborg, GAIS, and some Örgryte IS and BK Häcken matches"
214,Vivaldão,"43,000",Manaus, Brazil,"América Futebol Clube (AM), Nacional Futebol Clube, Atlético Rio Negro Clube"
215,Sapporo Dome,"42,831",Sapporo, Japan,some Consadole Sapporo matches
216,Estadio Cuauhtémoc,"42,648",Puebla, Mexico,Puebla F.C.
217,Villa Park,"42,573",Birmingham, England,Aston Villa F.C.
218,St. Jakob Park,"42,500",Basel, Switzerland,FC Basel
219,Weserstadion,"42,358",Bremen, Germany,SV Werder Bremen
220,Parken Stadium,"42,305",Copenhagen, Denmark,"Denmark, F.C. Copenhagen"
221,Niigata Stadium,"42,300",Niigata, Japan,Albirex Niigata
222,Jeju World Cup Stadium,"42,256",Seogwipo, South Korea,Jeju United FC
223,Estadio Garcilaso de la Vega,"42,056",Cusco, Peru,Cienciano del Cuzco
224,Stamford Bridge,"42,055",London, England,Chelsea F.C.
225,Estadio General Santander,"42,000",Cucuta, Colombia,Cucuta Deportivo
226,Stadium Perak,"42,000",Perak, Malaysia,Perak FA
227,Estadio Palogrande,"42,000",Manizales, Colombia,Once Caldas
228,Estadio Hernando Siles,"42,000",La Paz, Bolivia,"La Paz F.C., some Club Bolívar and The Strongest matches"
229,Stadio Flaminio,"42,000",Rome, Italy,no current user
230,Estadio Gigante de Arroyito,"41,654",Rosario, Argentina,Rosario Central
231,Stadio Friuli,"41,652",Udine, Italy,Udinese Calcio
232,Polideportivo Cachamay,"41,600",Ciudad Guayana, Venezuela,"Atlético Club Mineros de Guayana, Minervén Fútbol Club"
233,Ramat Gan Stadium,"41,580",Ramat Gan, Israel,"Israel national football team, some Maccabi Tel Aviv F.C. matches"
234,Estadio Morelos,"41,500",Morelia, Mexico,Monarcas Morelia
235,Südweststadion,"41,383",Ludwigshafen am Rhein, Germany,FSV Oggersheim
236,Goyang Stadium,"41,311",Goyang, South Korea,Kookmin Bank FC
237,Daejeon World Cup Stadium,"41,295",Daejeon, South Korea,Daejeon Citizen
238,Stade Félix Bollaert,"41,233",Lens, France,R.C. Lens
239,Dinamo Stadium,"41,040",Minsk, Belarus,F. C. Dinamo Minsk
240,Estadio Olímpico Atahualpa,"41,000",Quito, Ecuador,"Sociedad Deportivo Quito, Club Deportivo El Nacional"
241,Estadio Universitario,"41,000",San Nicolás de los Garza, Mexico,Club Deportivo U.A.N.L.
242,Goodison Park,"40,394",Liverpool, England,Everton F.C.
243,Estadio Lanús,"40,320",Lanús, Argentina,Club Atlético Lanús
244,Estadio Metropolitano de Fútbol de Lara,"40,312",Barquisimeto, Venezuela,Unión Lara
245,Elland Road,"40,242 ",Leeds, England,Leeds United A.F.C.
